Campaign,Ad group,Ad ID,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions,Cost
โลกตรายาง,กลุ่มโฆษณา ตรายางตัวเลข,534294522675,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,0,0%,0%,14,0%,42.86%,฿0,0%,0,0,0,฿0
โลกตรายาง,กลุ่มโฆษณา ตรายางตัวเลข,534294522675,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,4,10.81%,0%,37,37.84%,59.46%,฿0,0%,0,0,0,฿62.76
โลกตรายาง,กลุ่มโฆษณา ตรายางตัวเลข,534294522675,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,0,0%,0%,20,5%,50%,฿0,0%,0,0,0,฿0
โลกตรายาง,กลุ่มโฆษณา ตรายางตัวเลข,534294522675,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,0,0%,0%,12,16.67%,33.33%,฿0,0%,0,0,0,฿0
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"May 13, 2024 to May 19, 2024 (Week 20)",Good,12,6.78%,0%,177,24.43%,81.25%,฿0,0%,0,0,0,฿207.54
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"May 20, 2024 to May 26, 2024 (Week 21)",Good,39,9.15%,7.69%,426,22.59%,70.82%,฿198.8,7.69%,0,0,3,฿596.39
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,17,4.91%,0%,346,23.41%,60.4%,฿0,0%,0,0,0,฿357.18
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Good,6,3.95%,0%,152,17.76%,47.37%,฿0,0%,0,0,0,฿70.43
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,15,7.5%,6.67%,200,25.5%,61.5%,฿219.7,6.67%,0,0,1,฿219.7
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,24,5.81%,4.17%,413,20.87%,63.11%,฿309.82,4.17%,0,0,1,฿309.82
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,6,6.38%,133.33%,94,9.57%,47.87%,฿11.29,133.33%,0,0,8,฿90.32
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,30,7.28%,20%,412,23.06%,62.14%,฿94.33,20%,0,0,6,฿565.98
