Campaign,Ad group,Ad ID,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions,Cost
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,446348979784,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,446348979784,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,446348979784,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,446348979784,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,446348979784,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258499136849,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258501945340,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,228328877422,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,228328877422,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258499136849,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258501945340,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,228328877422,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258499136849,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258501945340,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,228328877422,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258499136849,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258501945340,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,228328877422,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258499136849,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258501945340,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258501945340,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,228328877422,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,258499136849,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,34,13.03%,8.82%,261,22.61%,72.41%,฿352.53,8.82%,0,0,3,"฿1,057.59"
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Good,20,10.53%,10%,190,9.47%,56.32%,฿215.18,10%,0,0,2,฿430.36
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,39,12.83%,7.69%,304,12.17%,62.83%,฿295.49,7.69%,0,0,3,฿886.48
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,48,11.88%,10.42%,404,10.89%,60.64%,฿172.47,10.42%,0,0,5,฿862.34
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,41,17.45%,7.32%,235,22.98%,70.21%,฿271.12,7.32%,0,0,3,฿813.36
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,97,12.93%,5.15%,750,17.6%,63.47%,฿335.67,5.15%,0,0,5,"฿1,678.35"
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,80,12.84%,8.75%,623,12.52%,59.87%,฿221.72,8.75%,0,0,7,"฿1,552.05"
โรงพิมพ์,ปฏิทินแขวน,624638105211,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,48,10.32%,0%,465,9.25%,56.56%,฿0,0%,0,0,0,฿824.28
โรงพิมพ์,โรงพิมพ์ - กลุ่มโฆษณาแบบไดนามิก,446302259202,"May 13, 2024 to May 19, 2024 (Week 20)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,โรงพิมพ์ - กลุ่มโฆษณาแบบไดนามิก,446302259202,"May 20, 2024 to May 26, 2024 (Week 21)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,โรงพิมพ์ - กลุ่มโฆษณาแบบไดนามิก,446302259202,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,โรงพิมพ์ - กลุ่มโฆษณาแบบไดนามิก,446302259202,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"May 13, 2024 to May 19, 2024 (Week 20)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"May 20, 2024 to May 26, 2024 (Week 21)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,579967261434,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
