Campaign,Ad group,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,6,15.79%,0%,38,15.79%,65.79%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,7,16.67%,14.29%,42,11.9%,59.52%,฿133.99,14.29%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,4,14.81%,0%,27,25.93%,74.07%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Excellent,71,12.61%,5.63%,563,19.36%,66.43%,฿612.1,5.63%,0,0,4
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Excellent,30,11.19%,6.67%,268,7.09%,44.4%,฿413.68,6.67%,0,0,2
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Excellent,38,13.1%,5.26%,290,11.03%,54.14%,฿410.8,5.26%,0,0,2
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Excellent,32,10.03%,6.25%,319,7.84%,41.69%,฿292.16,6.25%,0,0,2
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Excellent,22,10.95%,13.64%,201,15.92%,61.19%,฿194.24,13.64%,0,0,3
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Excellent,61,10.74%,0%,568,14.08%,50.7%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Excellent,26,7.24%,0%,359,14.76%,54.32%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Excellent,19,9.69%,10.53%,196,9.69%,45.92%,฿153.44,10.53%,0,0,2
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,1,50%,0%,2,0%,50%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,1,14.29%,0%,7,28.57%,42.86%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,0,0%,0%,1,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,0,0%,0%,3,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา โรงพิมพ์,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,20,8.85%,5%,226,25.33%,73.78%,฿849.11,5%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,0,0%,0%,2,50%,50%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,3,27.27%,33.33%,11,54.55%,72.73%,฿102.43,33.33%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,1,11.11%,0%,9,77.78%,77.78%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,2,12.5%,0%,16,62.5%,75%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,5,31.25%,20%,16,56.25%,68.75%,฿101.41,20%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,0,0%,0%,7,14.29%,57.14%,฿0,0%,0,0,0
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Excellent,26,6.9%,3.85%,377,32.89%,77.19%,฿700.89,3.85%,0,0,1
